sequence	package	architecture	version	archive	sha256
12	python3.12	amd64	3.12.3-1ubuntu0.15	python3.12_3.12.3-1ubuntu0.15_amd64.deb	d02d1769ca198be054f74fab22dc46299b4994c9c00bfdd6352938402e5eed1f
13	libpython3-stdlib	amd64	3.12.3-0ubuntu2.1	libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb	57ebb378c59d2f9ef479bee0abc933c560878cc10e2c3af8e05d6fdb2ed63da4
14	python3	amd64	3.12.3-0ubuntu2.1	python3_3.12.3-0ubuntu2.1_amd64.deb	e691b9cc40841c41bbdc50bd794c876cb1b1801306ea27b06e9a1458180df1e9
15	perl-modules-5.38	all	5.38.2-3.2ubuntu0.3	perl-modules-5.38_5.38.2-3.2ubuntu0.3_all.deb	c552fd5fae100049d0a59b681e7896887ec72656dd774deacbdd498189d7432d
16	libgdbm6t64	amd64	1.23-5.1build1	libgdbm6t64_1.23-5.1build1_amd64.deb	18d6d74a5c038b458d95ba0c0909e0f086cd50bb9a0fee32697902724fc5645e
17	libgdbm-compat4t64	amd64	1.23-5.1build1	libgdbm-compat4t64_1.23-5.1build1_amd64.deb	fb8564afd7b7d74d55207070ba50339478e22d29a39ec740dc482f069ac7ee65
18	libperl5.38t64	amd64	5.38.2-3.2ubuntu0.3	libperl5.38t64_5.38.2-3.2ubuntu0.3_amd64.deb	34a46ac768011622bf432873b5c9f53cfe333449602721bc12caadc0e7d1adce
19	perl	amd64	5.38.2-3.2ubuntu0.3	perl_5.38.2-3.2ubuntu0.3_amd64.deb	d1c28b1b9b1389a5689d19cc20fb2470d087db2538327371e1c8c7515ef0a041
20	openssl	amd64	3.0.13-0ubuntu3.12	openssl_3.0.13-0ubuntu3.12_amd64.deb	321b30ad5a1c3783cb3d73ae439f824f6d3874d76a93a62f4a984959b490aa7b
21	ca-certificates	all	20260601~24.04.1	ca-certificates_20260601~24.04.1_all.deb	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50
22	libmagic-mgc	amd64	1:5.45-3build1	libmagic-mgc_1%3a5.45-3build1_amd64.deb	f0ed0e314a63ae1b7e5403d7e43a26c6e0c0ee69e9a305babcf9c6775607377a
23	libmagic1t64	amd64	1:5.45-3build1	libmagic1t64_1%3a5.45-3build1_amd64.deb	fc2319f342c437e044ccf854e0c95bd472a7eb0b9363e1f76ad1524ab04df68e
24	file	amd64	1:5.45-3build1	file_1%3a5.45-3build1_amd64.deb	17dae1d6e803d0304e318f451c8abf62cbd5bb2a0068300cdeea77c62075b895
25	libjansson4	amd64	2.14-2build2	libjansson4_2.14-2build2_amd64.deb	0cf79113f5d193ce9af2be2ff4b2c3b30dd4e55a0b6c47f7d28f6c849ff3aa60
26	xz-utils	amd64	5.6.1+really5.4.5-1ubuntu0.3	xz-utils_5.6.1+really5.4.5-1ubuntu0.3_amd64.deb	778edae086bc8f34d80f36f301bc8fb3eff2d906c146dfb533ea6840b6d64e00
27	m4	amd64	1.4.19-4build1	m4_1.4.19-4build1_amd64.deb	30ea715845a1863abd55d11e47ab91513130bf347852d4cdeae69e9d98fa795c
28	autoconf	all	2.71-3	autoconf_2.71-3_all.deb	cc3f9f7a1e576173fb59c36652c0a67c6426feae752b352404ba92dfcb1b26c9
29	autotools-dev	all	20220109.1	autotools-dev_20220109.1_all.deb	d909f0327b09d9a9136239caca975df89782fa28efd721c4eb4caea422d3fc5a
30	automake	all	1:1.16.5-1.3ubuntu1	automake_1%3a1.16.5-1.3ubuntu1_all.deb	5ae9a98e73545002cd891f028859941af2a3c760cb6190e635c7ef36953912de
31	binutils-common	amd64	2.42-4ubuntu2.10	binutils-common_2.42-4ubuntu2.10_amd64.deb	d136073f5e2153f3df11c1d08d66727b9466b28ff483f50085f14bbe3464b5ee
32	libsframe1	amd64	2.42-4ubuntu2.10	libsframe1_2.42-4ubuntu2.10_amd64.deb	72093fb456864db55f1352bfa5e952a94f7abaff64e71dff1fbf001db1984564
33	libbinutils	amd64	2.42-4ubuntu2.10	libbinutils_2.42-4ubuntu2.10_amd64.deb	064dce00ce94e1fc2d33779cb0071088f4c8aac79e85345f2e78a020f7d14699
34	libctf-nobfd0	amd64	2.42-4ubuntu2.10	libctf-nobfd0_2.42-4ubuntu2.10_amd64.deb	da352eb7fa6c4369d2a6c1e5e680f574eda2e38576563326b18d9e47e61c4078
35	libctf0	amd64	2.42-4ubuntu2.10	libctf0_2.42-4ubuntu2.10_amd64.deb	7ec86d697c3668503c85f308a6832f092075b5880ad002f22185264da0bd4645
36	libgprofng0	amd64	2.42-4ubuntu2.10	libgprofng0_2.42-4ubuntu2.10_amd64.deb	1b7e3c2fc162e8358ca6e5a3fffdb4d0d632f790630323215841bb36a63c0ab8
37	binutils-x86-64-linux-gnu	amd64	2.42-4ubuntu2.10	binutils-x86-64-linux-gnu_2.42-4ubuntu2.10_amd64.deb	1e510a15f30208d39edcd840e48f26a77bbca7c417805eeccb1e3f7de198ef29
38	binutils	amd64	2.42-4ubuntu2.10	binutils_2.42-4ubuntu2.10_amd64.deb	b3b5a84181a38fd191820b2cdcc1a3eeb1cd6333ad472f2092f96e81047e9c74
39	libc-dev-bin	amd64	2.39-0ubuntu8.8	libc-dev-bin_2.39-0ubuntu8.8_amd64.deb	c894e5a5f137429657d09e853fbbb19d53fc164c60804c396cd43873b0b4f734
40	linux-libc-dev	amd64	6.8.0-137.137	linux-libc-dev_6.8.0-137.137_amd64.deb	2b2cb11434e5f72703e7133219dc00a59cf2a966d8c4ff0ff0133992369da3f0
41	libcrypt-dev	amd64	1:4.4.36-4build1	libcrypt-dev_1%3a4.4.36-4build1_amd64.deb	2edff420ef80b4a3f3751e65c33423ef30e563122a58b759e4854ea8d84ba1b1
42	rpcsvc-proto	amd64	1.4.2-0ubuntu7	rpcsvc-proto_1.4.2-0ubuntu7_amd64.deb	7eb710fe148d224c159ddec1ceb0ba53ead52a80a6793dcdae1474acf20d8f71
43	libc6-dev	amd64	2.39-0ubuntu8.8	libc6-dev_2.39-0ubuntu8.8_amd64.deb	bb8741966e7c1d2e2c0b84bb311717a0908fb563d9b2247b7212710e3cd88b94
44	gcc-13-base	amd64	13.3.0-6ubuntu2~24.04.1	gcc-13-base_13.3.0-6ubuntu2~24.04.1_amd64.deb	e859aca26585bb91113a451f1e66bc0e5283cb08797d679aacc1d936ae6dff8e
45	libisl23	amd64	0.26-3build1.1	libisl23_0.26-3build1.1_amd64.deb	4e040926e50fb961fae9bf95660189d468336a4a17bc321872c434fc8f777e7f
46	libmpfr6	amd64	4.2.1-1build1.1	libmpfr6_4.2.1-1build1.1_amd64.deb	aebc1c8b69a1f98bb43dfc268daecd181116dbf40b13ee4e822eb4bdd52b493a
47	libmpc3	amd64	1.3.1-1build1.1	libmpc3_1.3.1-1build1.1_amd64.deb	cebe6098bb3d66fdacac9dc6fe406a651216d9c00f27c3f9c159d15d96cdf864
48	cpp-13-x86-64-linux-gnu	amd64	13.3.0-6ubuntu2~24.04.1	cpp-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	2ca48bf0c2d6465bc39322899715a85d934b4d7442dd5586a7bebbe3ce0f806b
49	cpp-13	amd64	13.3.0-6ubuntu2~24.04.1	cpp-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	c7535331fbb183c802c3bf4b6b210872dcc12d0421b3212b3c4b940f2c59ed3a
50	cpp-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	cpp-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	85059b30960de3582e8612740614da3dfe47241d0368a28dea686188cf7648dd
51	cpp	amd64	4:13.2.0-7ubuntu1	cpp_4%3a13.2.0-7ubuntu1_amd64.deb	b51f8094760f7b41afdcb1fe1b5a57fc64b75a090859918af17450a10f8c7d31
52	libcc1-0	amd64	14.2.0-4ubuntu2~24.04.1	libcc1-0_14.2.0-4ubuntu2~24.04.1_amd64.deb	454456436ca767817a860557263d7cc2489f0a410f03efff4c0bb236d579ec09
53	libgomp1	amd64	14.2.0-4ubuntu2~24.04.1	libgomp1_14.2.0-4ubuntu2~24.04.1_amd64.deb	e8a95ec58125b4933597f30ff56c2ae10edf90f287262e366d4b6edea3019144
54	libitm1	amd64	14.2.0-4ubuntu2~24.04.1	libitm1_14.2.0-4ubuntu2~24.04.1_amd64.deb	1fca498129dd3510294809d77ee754f72a9de281111200e9b7b9a5adf37faa9f
55	libatomic1	amd64	14.2.0-4ubuntu2~24.04.1	libatomic1_14.2.0-4ubuntu2~24.04.1_amd64.deb	fe49cbbc7be753528380c724a8eef5f1e31dffa9221f692c5069048d81c7449d
56	libasan8	amd64	14.2.0-4ubuntu2~24.04.1	libasan8_14.2.0-4ubuntu2~24.04.1_amd64.deb	8321aac6230fa1da320e76eb6288b7436164624aec449ed3933ea6c4cc86daac
57	liblsan0	amd64	14.2.0-4ubuntu2~24.04.1	liblsan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	dc0c2a1a053e833ba4d71e1ec2ba4244fe301761ad4a91d6725f927a52d86a14
58	libtsan2	amd64	14.2.0-4ubuntu2~24.04.1	libtsan2_14.2.0-4ubuntu2~24.04.1_amd64.deb	8cbcc9b3ae5ef23b449383d47a9035b27596e307d7dce7df9b83d47a7acd1d91
59	libubsan1	amd64	14.2.0-4ubuntu2~24.04.1	libubsan1_14.2.0-4ubuntu2~24.04.1_amd64.deb	a16dea3abe2dcac99bcfae27e7e5672fde64573c3c170dcb0cd55631238f9814
60	libhwasan0	amd64	14.2.0-4ubuntu2~24.04.1	libhwasan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	2195318cfe68fe16b601913ef7b33c9a900372f57861643fdc9ae6fef84534cd
61	libquadmath0	amd64	14.2.0-4ubuntu2~24.04.1	libquadmath0_14.2.0-4ubuntu2~24.04.1_amd64.deb	dc8f0ca542e09d662f29370c8393c016440dd4bc5c996c5fcc19f632b63ce3b0
62	libgcc-13-dev	amd64	13.3.0-6ubuntu2~24.04.1	libgcc-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	cd689db2691edaa10f37329307292796bb599e722e0505c79e14caaa1fe9a93a
63	gcc-13-x86-64-linux-gnu	amd64	13.3.0-6ubuntu2~24.04.1	gcc-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	a134b0319a82d14581b3a14820d2832af4ec9778ed8b9b4ddaeecfb0555ec325
64	gcc-13	amd64	13.3.0-6ubuntu2~24.04.1	gcc-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	7438ff160b020a74970672189ecae25d0ca650de6d7f543f12a3134192cffbd9
65	gcc-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	gcc-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	72e79089a10e381360bfc6f03c5e5d8c2ff177d6dbac2cd7ffb3cc1383f57591
66	gcc	amd64	4:13.2.0-7ubuntu1	gcc_4%3a13.2.0-7ubuntu1_amd64.deb	0e0bb8b25153ed1c44ab92bc219eed469fcb5820c5c0bc6454b2fd366a33d3ee
67	libstdc++-13-dev	amd64	13.3.0-6ubuntu2~24.04.1	libstdc++-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	ee5633e863e19c3381ed97842ce35ed32ede96a3d1ae4e94c051d3036fe21347
68	g++-13-x86-64-linux-gnu	amd64	13.3.0-6ubuntu2~24.04.1	g++-13-x86-64-linux-gnu_13.3.0-6ubuntu2~24.04.1_amd64.deb	0bd6af6164252d4ea9170d201ee4c10a3120fe0fc04985a00be3bc9076353844
69	g++-13	amd64	13.3.0-6ubuntu2~24.04.1	g++-13_13.3.0-6ubuntu2~24.04.1_amd64.deb	0f3ef964b8a91a9cd7bebfd126839a21941c55547cadcf4aa00204bc8cc43985
70	g++-x86-64-linux-gnu	amd64	4:13.2.0-7ubuntu1	g++-x86-64-linux-gnu_4%3a13.2.0-7ubuntu1_amd64.deb	145b027a542db5b21f85d4f9e242f51c62c69914fc484adb3a4881ca8e2f3913
71	g++	amd64	4:13.2.0-7ubuntu1	g++_4%3a13.2.0-7ubuntu1_amd64.deb	800a84b369c64b18d65f0fb5c1533de0446c880ee4f1cadad64e3363327f63f0
72	make	amd64	4.3-4.1build2	make_4.3-4.1build2_amd64.deb	1fe6a815b56c7b6e9ce4086a363f09444bbd0a0d30e230c453d0b78e44b57a99
73	libdpkg-perl	all	1.22.6ubuntu6.6	libdpkg-perl_1.22.6ubuntu6.6_all.deb	db57f9f0608f78001b5f468e03541fdb88b7e30a07b46d0bcdb57a916a6e8c11
74	bzip2	amd64	1.0.8-5.1build0.1	bzip2_1.0.8-5.1build0.1_amd64.deb	71c02f8f7541a2a57f0f3545ee826ad9778e665c5c457f34aca9e71abdc1a22b
75	patch	amd64	2.7.6-7build3	patch_2.7.6-7build3_amd64.deb	fb7d78ed25c2788a607802270f3c28ac5ed6857bfb6cce9f73ad2cafac9159b3
76	lto-disabled-list	all	47	lto-disabled-list_47_all.deb	cac0f63c88188f376bb4df10a2af2b49a607bbef97a57db50ed58f678c21eee9
77	dpkg-dev	all	1.22.6ubuntu6.6	dpkg-dev_1.22.6ubuntu6.6_all.deb	70da073557dbed76dc14eb1e682e7ec30fcb736f3d98812490a4c785b4c481cb
78	build-essential	amd64	12.10ubuntu1	build-essential_12.10ubuntu1_amd64.deb	9b2159b95a4c01937309783c7c8a6ec8dfbcb7ffd604951c9713ac52ee9c7268
79	ca-certificates-java	all	20240118	ca-certificates-java_20240118_all.deb	6d5859b713371c4725cf8deca131685067219ffa30129a6c5b09d53ff63d40e9
80	gperf	amd64	3.1-1build1	gperf_3.1-1build1_amd64.deb	f6701027304592fe819d219a5ee00d8b56ba4b2a05a7623dd923f1884d595042
81	java-common	all	0.75+exp1	java-common_0.75+exp1_all.deb	9029d787c97f9b9e9bb04e7a4fb92bfc12fbd10b5809aab8694a8735b85bc070
82	libjpeg-turbo8	amd64	2.1.5-2ubuntu2	libjpeg-turbo8_2.1.5-2ubuntu2_amd64.deb	f68b5b23bc8a1688fb787d2aed7e2cdf895a73022f6a5025e183162dac4500b2
83	libjpeg8	amd64	8c-2ubuntu11	libjpeg8_8c-2ubuntu11_amd64.deb	4d6ed682972bddf62af158a06d68a0dda497e421423b7ca92fb450b3d9ceaac9
84	liblcms2-2	amd64	2.14-2ubuntu0.1	liblcms2-2_2.14-2ubuntu0.1_amd64.deb	f48368ce55ac35c4723a158c74f2c48f4398570d6f3207874e3a14e1cdada71d
85	libnspr4	amd64	2:4.35-1.1build1	libnspr4_2%3a4.35-1.1build1_amd64.deb	e579e72d091f6c7a13f5a756c31065b15aae5b81840d61b069355aa2283c07b4
86	libnss3	amd64	2:3.98-1ubuntu0.2	libnss3_2%3a3.98-1ubuntu0.2_amd64.deb	4254f11d782dfb970e78113519a59d440112ed43c4b56f709da0aef81da8651a
87	libpcsclite1	amd64	2.0.3-1build1	libpcsclite1_2.0.3-1build1_amd64.deb	703bacc9204a7ecc24486ac8c96d15d0b9e2c91c385388e132ad4fd8f56f035a
88	libpkgconf3	amd64	1.8.1-2build1	libpkgconf3_1.8.1-2build1_amd64.deb	fc3a57e8f931ec06cb7c51acc56878f1fec247ff02a7adcab26905c2faeb2792
89	libtool	all	2.4.7-7build1	libtool_2.4.7-7build1_all.deb	9d1d707179675d38e024bb13613b1d99e0d33fa6c45e5f3bcba19340781781d3
90	libtool-bin	amd64	2.4.7-7build1	libtool-bin_2.4.7-7build1_amd64.deb	23959c8be74b4433d635c76e61a6c4bb62f10d3899362598c53173e8e57c0f8a
91	nasm	amd64	2.16.01-1build1	nasm_2.16.01-1build1_amd64.deb	22eede0f2dd62343b0298182f62f7485704fe02f166395b02c92a8883377e0b3
92	ninja-build	amd64	1.11.1-2	ninja-build_1.11.1-2_amd64.deb	6a17f76a0f75586f1292f6c61a9b07fd0dec963baf6a102b17673f601c6b323a
93	openjdk-17-jre-headless	amd64	17.0.19+10-1~24.04.2	openjdk-17-jre-headless_17.0.19+10-1~24.04.2_amd64.deb	ff074bca2b1ffa2a98a58011b815bc857bd94008ce5d126011b7845dd6bd9354
94	openjdk-17-jdk-headless	amd64	17.0.19+10-1~24.04.2	openjdk-17-jdk-headless_17.0.19+10-1~24.04.2_amd64.deb	dcdeb373cc2b174e7b6ae64a9af14c1494e29a9a5b8a01523a57c9b89ea47de1
95	pkgconf-bin	amd64	1.8.1-2build1	pkgconf-bin_1.8.1-2build1_amd64.deb	7a812f05ee1610154b433e2ad54f6e4163fcbb306b9fb31afe959afb2e5e1545
96	pkgconf	amd64	1.8.1-2build1	pkgconf_1.8.1-2build1_amd64.deb	834a58031069d97d7cfb8b2f5bfd5effc69cecf7f30cc362071875f1f8dc1828
97	pkg-config	amd64	1.8.1-2build1	pkg-config_1.8.1-2build1_amd64.deb	16bda455d9216da31ad55d72df5a7380cb9d5ac32a2393941cab262a4e5b526f
98	python3-pip-whl	all	24.0+dfsg-1ubuntu1.3	python3-pip-whl_24.0+dfsg-1ubuntu1.3_all.deb	4b7c50db8f261b208c1d9cde8db148c1f682cc516957b986ada5088cfcee1359
99	python3-setuptools-whl	all	68.1.2-2ubuntu1.2	python3-setuptools-whl_68.1.2-2ubuntu1.2_all.deb	edfa94cc1f6a33af99cfaf6ebfe35dbcd9c4bdd8555b90c0d8e78479faf5c8f0
100	python3.12-venv	amd64	3.12.3-1ubuntu0.15	python3.12-venv_3.12.3-1ubuntu0.15_amd64.deb	9fdfbf0405d0d66af5d4e6b803420eb4c5b369af59ff7428ca892e4eb9f5bdad
101	python3-venv	amd64	3.12.3-0ubuntu2.1	python3-venv_3.12.3-0ubuntu2.1_amd64.deb	16d50387b7656796b79e2c059d06774dfe9fe3f42808d8d50b332ceb780f508a
102	unzip	amd64	6.0-28ubuntu4.1	unzip_6.0-28ubuntu4.1_amd64.deb	a505b9d491386167bd8e14e3383315a4a7d6539e4406745901ccf009a7988271
